word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
-eme,i:m,,"suf. [用以构成名词][语言学]表示“位”, “素”:",,,,,0,0,,,
-en,n,,"suf. 加在形容词后构成动词使, 使成为, 变得：darken, weaken; 加在名词后构成动词变得有,使有,具有：heighten,hearten,strengthen; 加在物质名词后构成形容词表示由...制的, 由...构成的, ...一样的：wooden, woolen; 构成某些不规则动词的过去分词：risen, written; 用以构成某些名词的复数：children,brethren",,,,,0,0,,,
-enabled,,, 能与某一系统（或技术）使用的,,,,,0,0,,,
-ence,,, ——见 -ance,,,,,0,0,,,
-ency,,, ——见 -ancy,,,,,0,0,,,
-ene,'i:n,, [医]〔后缀〕指含一个双键的不饱和碳氢化合物即烯,,,,,0,0,,,
-ent,ənt,," （附在动词后构成名词）表示动作者, 生效物；（附在动词后构成形容词）表示有...性质的, 作...动作的",,,,,0,0,,,
-er,,, …的人（或物）,,,,,0,0,,,
-ergic,'ə:dʒik,,"comb.form 表示“表现活动的”, “刺激活动的”：",,,,,0,0,,,
-ery,əri,,"suf. [构成名词]表示：场所, 地方; 作为...的地方; 实践, 动作, 职业, 技术; ...类的产品(或货物); 集体",,,,,0,0,,,
-es,iz,,"suf. 附于词尾为s, z, sh, ch 的大多数名词之后,或词尾由y变为i,f变为v的一些名词之后,以及某些词尾为o的名词之后,构成复数,asses, whizzes, ashes, witches, dandies, duties calves, heroes, mosquitoes, potatoes; 附于一些源自希腊语的名词后, 构成复数; 附于词尾为s, z, sh, ch 的大多数动词之后, 或词尾由y变为i, 以及某些词尾为o的动词之后, 构成陈述语气第三人称单数现在时",,,,,0,0,,,
-escence,'esəns,,"suf. [用以构成名词, 相当于形容词后缀-escent]表示变化, 状态, 动作, 过程",,,,,0,0,,,
-escent,'esənt,,"suf. [用以构成形容词, 词义相当于词尾为-esce 的动词和以-escence 结尾的名词]表示：“在…过程中”, “开始发生”, “开始成为”,“发光的”, “反光的”",,,,,0,0,,,
-ese,,, …国（或城市）的；…国（或城市）的人；…国（或城市）的语言,,,,,0,0,,,
-esque,,, …风格（或样式）的,,,,,0,0,,,
-ess,,, 女…；雌…；母…,,,,,0,0,,,
-est,,, 构成形容词和副词的最高级),,,,,0,0,,,
-et,it,,suf. 用于构成名词表示“…的人”; 用于构成名词表示：“小”,,,,,0,0,,,
-ette,,, 小,,,,,0,0,,,
-exempt,ɪg'zem(p)t; eg-,,vt. 免除；豁免\na. 被免除的；被豁免的\nn. 免税者；被免除义务者,,,,,0,0,,,
-ey,,, ——见 -y (1),,,,,0,0,,,
-faced,feɪst,,a. 有某种面孔或表情的；有…表面的\nv. 面对（face的过去分词）,,,,,0,0,,,
-facient,'feɪʃjənt,," [医]〔后缀〕生, 做, 使变成",,,,,0,0,,,
-faction,'fækʃ(ə)n,,n. 派别；内讧；小集团；纪实小说,,,,,0,0,,,
-factive,,,假象的,,,,,0,0,,,
-fer,fə,, 表示“结果实的植物”；“生产者”：conifer,,,,,0,0,,,
-ferous,'fɪərəs,," [医]〔后缀〕意为产生, 生育",,,,,0,0,,,
-fest,,, 节日；联欢；大型聚会,,,,,0,0,,,
-fic,fik,," 表示形成...的, 产生...的",,,,,0,0,,,
-fication,fi'keiʃən,," 表示形成, ...化",,,,,0,0,,,
-fisted,'fistid,,a. 握成拳头的\nv. 拳打（fist的过去式）,,,,,0,0,,,
-fold,,, 乘以；…倍；由…部分组成,,,,,0,0,,,
-form,fɔ:m,," 表示：具有...形状：dentiform,有...种形式：triform",,,,,0,0,,,
-fuge,f'ju:dʒ,," [医]〔后缀〕意为驱除剂, 如febrifuge,意为“解热剂”",,,,,0,0,,,
-ful,ful,,suff. 表示充满...的；表示有...倾向的；表示有...性质的；表示充满...的量,,,,,0,0,,,
-fy,,, ——见 -ify,,,,,0,0,,,
-gamic,'ɡæmɪk,,a. 性的；受胎的；受精的,,,,,0,0,,,
-gamous,-ɡəməs,," 表示：结婚的,两性结合的：polygamous; 具有...生殖器官的：heterogamous",,,,,0,0,,,
-gamy,-ɡeimi,," 表示：婚姻,性结合：polygamy; 具有...受精方式；具有...生殖器官：cleistogamy",,,,,0,0,,,
-gate,geɪt,,n. 大门；出入口；门道\nvt. 给…装大门\nn. (Gate)人名；(英)盖特；(法、瑞典)加特,,,,,0,0,,,
-gen,d'ʒen,," [医]〔词尾〕原, 剂：加到词干上指该词干表示的物体或状态产生的动因, 如过敏原(allergen), 冷冻剂(cryogen), 致病原(pathogen)",,,,,0,0,,,
-genetic,dʒɪ'netɪk,,a. 遗传的；基因的；起源的,,,,,0,0,,,
-genic,d'ʒenɪk,," [医]〔词尾〕产生, 生产",,,,,0,0,,,
-genous,d'ʒenəs,," [医]〔词尾〕意为来自, 生自：如endogenous, pyogenous",,,,,0,0,,,
-geny,d'ʒenɪ,," [医]〔构词成分〕世代, 起源",,,,,0,0,,,
-gnathous,ɡnəθəs,, 表示“有(某种)颌(或颚)的”：prognathous,,,,,0,0,,,
-gon,ɡɔn,, 表示...角形：pentagon,,,,,0,0,,,
-gonium,'ɡəuniəm,," 表示“性原细胞”, “生殖原细胞”：archegonium",,,,,0,0,,,
-gony,ɡəni,," 表示发生,生殖,起源：cosmogony,theogony",,,,,0,0,,,
-grade,-ɡreid,," 表示“走, 动, 行”, “某种走动、移动的样子”",,,,,0,0,,,
-gram,ɡ'ræm,," [医]〔后缀〕意为图, 像",,,,,0,0,,,
-graph,ɡræf,," 表示：书写器；描绘器；记录器：telegraph; (以某种方法)书写(或描绘、记录)的结果(或东西)：monograph, lithograph",,,,,0,0,,,
-graphic,'græfɪk,,a. 形象的；图表的；绘画似的,,,,,0,0,,,
-graphical,'græfɪk(ə)l,,a. 图解的；绘画的；生动的,,,,,0,0,,,
-graphy,,," [医]〔词尾〕意为书写, 记录, 记录法",,,,,0,0,,,
-gynous,dʒinəs,, 表示：妇女的;女性的：misogynous; 有(某种或若干)雌性的：polygynous; 女性生殖器的；雌性生殖器的；雌蕊的：monogynous,,,,,0,0,,,
